USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0   10892116   3748 0                   0 S init
root             2     0          0      0 0                   0 S [kthreadd]
root             3     2          0      0 0                   0 I [rcu_gp]
root             4     2          0      0 0                   0 I [slub_flushwq]
root             5     2          0      0 0                   0 I [netns]
root             9     2          0      0 0                   0 I [mm_percpu_wq]
root            11     2          0      0 0                   0 I [rcu_tasks_kthread]
root            12     2          0      0 0                   0 I [rcu_tasks_trace_kthread]
root            13     2          0      0 0                   0 S [ksoftirqd/0]
root            14     2          0      0 0                   0 I [rcu_preempt]
root            15     2          0      0 0                   0 S [rcuog/0]
root            16     2          0      0 0                   0 S [rcuop/0]
root            17     2          0      0 0                   0 S [rcub/0]
root            18     2          0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            19     2          0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            20     2          0      0 0                   0 S [migration/0]
root            21     2          0      0 0                   0 S [idle_inject/0]
root            23     2          0      0 0                   0 S [cpuhp/0]
root            24     2          0      0 0                   0 S [cpuhp/1]
root            25     2          0      0 0                   0 S [idle_inject/1]
root            26     2          0      0 0                   0 S [migration/1]
root            27     2          0      0 0                   0 S [ksoftirqd/1]
root            30     2          0      0 0                   0 S [rcuop/1]
root            31     2          0      0 0                   0 S [cpuhp/2]
root            32     2          0      0 0                   0 S [idle_inject/2]
root            33     2          0      0 0                   0 S [migration/2]
root            34     2          0      0 0                   0 S [ksoftirqd/2]
root            37     2          0      0 0                   0 S [rcuop/2]
root            38     2          0      0 0                   0 S [cpuhp/3]
root            39     2          0      0 0                   0 S [idle_inject/3]
root            40     2          0      0 0                   0 S [migration/3]
root            41     2          0      0 0                   0 S [ksoftirqd/3]
root            44     2          0      0 0                   0 S [rcuop/3]
root            45     2          0      0 0                   0 S [cpuhp/4]
root            46     2          0      0 0                   0 S [idle_inject/4]
root            47     2          0      0 0                   0 S [migration/4]
root            48     2          0      0 0                   0 S [ksoftirqd/4]
root            51     2          0      0 0                   0 S [rcuog/4]
root            52     2          0      0 0                   0 S [rcuop/4]
root            53     2          0      0 0                   0 S [cpuhp/5]
root            54     2          0      0 0                   0 S [idle_inject/5]
root            55     2          0      0 0                   0 S [migration/5]
root            56     2          0      0 0                   0 S [ksoftirqd/5]
root            59     2          0      0 0                   0 S [rcuop/5]
root            60     2          0      0 0                   0 S [cpuhp/6]
root            61     2          0      0 0                   0 S [idle_inject/6]
root            62     2          0      0 0                   0 S [migration/6]
root            63     2          0      0 0                   0 S [ksoftirqd/6]
root            66     2          0      0 0                   0 S [rcuop/6]
root            67     2          0      0 0                   0 S [cpuhp/7]
root            68     2          0      0 0                   0 S [idle_inject/7]
root            69     2          0      0 0                   0 S [migration/7]
root            70     2          0      0 0                   0 S [ksoftirqd/7]
root            73     2          0      0 0                   0 S [rcuop/7]
root            74     2          0      0 0                   0 I [inet_frag_wq]
root            75     2          0      0 0                   0 S [kauditd]
root            76     2          0      0 0                   0 S [khungtaskd]
root            77     2          0      0 0                   0 S [oom_reaper]
root            78     2          0      0 0                   0 I [writeback]
root            79     2          0      0 0                   0 S [kcompactd0]
root            81     2          0      0 0                   0 I [kblockd]
root            82     2          0      0 0                   0 I [blkcg_punt_bio]
root            83     2          0      0 0                   0 I [edac-poller]
root            84     2          0      0 0                   0 I [devfreq_wq]
root            85     2          0      0 0                   0 S [watchdogd]
root            92     2          0      0 0                   0 S [kswapd0]
root            94     2          0      0 0                   0 S [erofs_worker/0]
root            95     2          0      0 0                   0 S [erofs_worker/1]
root            96     2          0      0 0                   0 S [erofs_worker/2]
root            97     2          0      0 0                   0 S [erofs_worker/3]
root            98     2          0      0 0                   0 S [erofs_worker/4]
root            99     2          0      0 0                   0 S [erofs_worker/5]
root           100     2          0      0 0                   0 S [erofs_worker/6]
root           101     2          0      0 0                   0 S [erofs_worker/7]
root           102     2          0      0 0                   0 I [kthrotld]
root           103     2          0      0 0                   0 S [dmabuf-deferred-free-worker]
root           104     2          0      0 0                   0 I [nvme-wq]
root           105     2          0      0 0                   0 I [nvme-reset-wq]
root           106     2          0      0 0                   0 I [nvme-delete-wq]
root           107     2          0      0 0                   0 I [uas]
root           108     2          0      0 0                   0 I [dm_bufio_cache]
root           109     2          0      0 0                   0 S [hwrng]
root           111     2          0      0 0                   0 I [mld]
root           112     2          0      0 0                   0 I [ipv6_addrconf]
root           132     2          0      0 0                   0 S [PT_resize]
root           133     2          0      0 0                   0 S [perf_mon_update_client_task]
root           135     2          0      0 0                   0 S [trusty-nop-0]
root           136     2          0      0 0                   0 S [trusty-nop-1]
root           138     2          0      0 0                   0 S [trusty-nop-2]
root           139     2          0      0 0                   0 S [trusty-nop-3]
root           140     2          0      0 0                   0 S [trusty-nop-4]
root           141     2          0      0 0                   0 S [irq/20-17610000.acpm_ipc]
root           142     2          0      0 0                   0 S [trusty-nop-5]
root           143     2          0      0 0                   0 I [acpm_log]
root           144     2          0      0 0                   0 S [trusty-nop-6]
root           145     2          0      0 0                   0 S [trusty-nop-7]
root           147     2          0      0 0                   0 S [sched_pmu_wq]
root           150     2          0      0 0                   0 S [irq/96-tbn]
root           152     2          0      0 0                   0 S [irq/109-1a090000.sysmmu]
root           153     2          0      0 0                   0 S [irq/110-1a090000.sysmmu]
